pair_id,method,status,image_path,nme_full,nme_jaw,nme_brow,nme_nose,nme_eyes,nme_mouth
4,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair04_result.png,0.030661686623564766,0.028651072116759574,0.030239441753831583,0.027034443230673298,0.02491358424795938,0.03766295072974734
4,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair04_vSYYZ253_vFG251.png,0.640007173231189,0.7043419615271013,0.46094414725284,0.6331204493349524,0.5200499313151392,0.749927751965606
5,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair05_result.png,0.10346132133913546,0.10295123137178674,0.10321644654850254,0.10372022760095696,0.10211158393814962,0.10471067785450867
5,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair05_result.png,0.10260475959355081,0.10178564391229962,0.10478115003888563,0.10170570835558121,0.10539392963369675,0.10094390996864852
5,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair05_vSYYZ38_vFG325.png,0.6726128498200712,0.7583729054155627,0.49962798390685936,0.6463733443481308,0.5469783285439903,0.7733977529102
6,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair06_result.png,0.024928237850029986,0.026139871973084514,0.028904633785767242,0.022238414971474305,0.029060894654035756,0.02064097571090065
6,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair06_result.png,0.02734313798925174,0.0280021505498185,0.03623605194930566,0.025167292237457707,0.02804707681408907,0.02289329329788187
6,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair06_vSYYZ48_vFG332.png,0.657925696925496,0.7501540013721059,0.4872381204092066,0.6254436460932213,0.5398495412235601,0.7503379494993226
7,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair07_result.png,0.019358479828402837,0.015939255754455584,0.023353892713830128,0.020139550522232114,0.01937107464087866,0.019908077823968074
7,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair07_result.png,0.021884968844685226,0.021848370141612544,0.01928171365105307,0.02161329541374147,0.01803783204032376,0.025648240971760782
7,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair07_vSYYZ551_vFG403.png,0.6249937532043748,0.7078492606570334,0.4499254549055392,0.6085399711629405,0.512419971607157,0.7170491248007966
8,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair08_result.png,0.019456554995317354,0.019653207933369984,0.026092414159992455,0.016215390452439794,0.01656207061501625,0.019166685746541907
8,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair08_result.png,0.020907488790163607,0.01852686027378942,0.026781112791700857,0.02141876360348283,0.01653398339989986,0.022388236353253845
8,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair08_vSYYZ683_vFG449.png,0.636559887725118,0.7157665132691519,0.44758184704616844,0.6280027392614014,0.5086049535008224,0.744346714904337
9,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair09_result.png,0.008695577003247319,0.008698599281330825,0.021863644131816084,0.005615149681921482,0.006880977701553326,0.004583927896937681
9,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair09_result.png,0.009751580709149516,0.007565233609520748,0.024974894133395566,0.004878207037992034,0.006010699058813398,0.008435865357614654
9,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair09_vSYYZ761_vFG581.png,0.6547259122432018,0.7490769750110393,0.47739464782070845,0.6265749744148214,0.5361904040781545,0.7469821930655782
10,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair10_result.png,0.026063302258228657,0.02676416440726047,0.025223613035802447,0.027798166040224725,0.023738518189752464,0.026501586380227954
10,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair10_result.png,0.028899038195117393,0.03311072557436893,0.026542814457469317,0.029789575581662238,0.0252604253354608,0.028279634404672144
10,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair10_vSYYZ769_vFG587.png,0.6470332137320783,0.728378533265023,0.46449777905797585,0.6297090021982809,0.5305529591969534,0.7468414816399247
