pair_id,method,status,reference_path,output_path,deltae_lip,deltae_eye,deltae_skin,deltae_avg
20,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/8ed6feb8f72b89632d02fbafcc2511a9.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair20_result.png,7.948389530181885,7.200064659118652,1.0041184425354004,5.3841908772786455
20,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/8ed6feb8f72b89632d02fbafcc2511a9.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair20_result.png,10.254341125488281,5.001741886138916,4.757430553436279,6.671171188354492
20,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/8ed6feb8f72b89632d02fbafcc2511a9.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair20_xfsy_0106_8ed6feb8f72b89632d02fbafcc2511a9.png,10.052907943725586,7.625106334686279,13.301844596862793,10.326619625091553
21,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/9b88951909bde896d18d71c42c2beca1.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair21_result.png,10.972630500793457,18.376829147338867,6.307096004486084,11.885518550872803
21,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/9b88951909bde896d18d71c42c2beca1.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair21_result.png,6.021167755126953,5.266509532928467,2.8401074409484863,4.709261576334636
21,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/9b88951909bde896d18d71c42c2beca1.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair21_xfsy_0153_9b88951909bde896d18d71c42c2beca1.png,1.4336225986480713,4.2358808517456055,5.617641925811768,3.7623817920684814
22,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XMY-005.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair22_result.png,5.774345874786377,10.723520278930664,3.675093173980713,6.724319775899251
22,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XMY-005.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair22_result.png,1.5440634489059448,23.122127532958984,2.9210214614868164,9.195737481117249
22,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XMY-005.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair22_xfsy_0230_XMY-005.png,3.8486409187316895,15.200409889221191,4.185830593109131,7.744960467020671
23,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XMY-014.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair23_result.png,1.3893359899520874,23.634355545043945,1.2725563049316406,8.765415946642557
23,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XMY-014.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair23_result.png,9.338391304016113,6.566650867462158,2.7197391986846924,6.208260456720988
23,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XMY-014.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair23_xfsy_0260_XMY-014.png,2.7631592750549316,3.9580109119415283,2.042327404022217,2.921165863672892
